transaction_id,timestamp,amount_kes,hour_of_day,is_fraud,transaction_type,day_of_week,day_of_month,user_id,user_avg_amount,amount_deviation,time_diff,is_night,is_large_tx,is_weekend
TXN0004926,2024-03-11 13:00:00,262.98,13,0,send_money,0,11,USER00975,4720.756997677629,0.05570716733129299,,0,0,0
TXN0007869,2024-03-23 07:00:00,6477.71,7,0,send_money,5,23,USER01985,1526.0951194447825,4.244630572147228,1173600.0,0,0,1
TXN0000626,2024-10-13 13:00:00,845.3,13,0,send_money,6,13,USER00386,4746.143444750916,0.17810249728858804,1209600.0,0,0,1
TXN0001193,2024-07-28 14:00:00,1593.3173614270438,14,0,send_money,6,28,USER01641,3560.298912113413,0.44752348068472764,842400.0,0,0,1
TXN0008714,2024-08-23 17:00:00,12855.49,17,0,withdraw,4,23,USER01313,2517.1527173702652,5.107155362996991,1648800.0,0,0,0
TXN0009936,2024-03-28 00:00:00,63416.64,0,1,withdraw,3,28,USER01767,2144.6810522987626,21.416330280753304,54.90977214105718,1,1,0
TXN0009026,2024-01-11 14:00:00,2787.87,14,0,paybill,3,11,USER00070,4607.008576192872,0.6051367072348349,356400.0,0,0,0
TXN0004467,2024-08-02 10:00:00,964.38,10,0,deposit,4,2,USER00529,3144.1552665939503,0.3067214937653854,3103200.0,0,0,0
TXN0007715,2024-02-09 19:00:00,7182.28,19,0,send_money,4,9,USER00908,3231.1656534677245,2.222813922366343,2426400.0,0,0,0
TXN0008208,2024-08-26 11:00:00,824.147179373887,11,0,send_money,0,26,USER00975,4720.756997677629,0.17457945405351835,522000.0,0,0,0
TXN0000444,2024-01-22 16:00:00,1726.78,16,0,buy_goods,0,22,USER01661,439.0326044212781,3.9331475216429506,,0,0,0
TXN0004906,2024-05-11 19:00:00,243.14,19,0,withdraw,5,11,USER00653,2377.481357980458,0.10226788916087833,349200.0,0,0,1
TXN0005841,2024-11-21 09:00:00,3448.11,9,0,withdraw,3,21,USER01105,2663.7407948111722,1.294461535715764,7074000.0,0,0,0
TXN0002275,2024-06-04 14:00:00,5064.06,14,0,paybill,1,4,USER00051,4992.984709694226,1.0142350306356391,2926800.0,0,0,0
TXN0001784,2024-06-07 14:00:00,692.1,14,0,send_money,4,7,USER00781,721.9621011513236,0.9586375779231319,6487200.0,0,0,0
TXN0008422,2024-10-07 10:00:00,678.62,10,0,buy_goods,0,7,USER01320,3228.6946673818165,0.2101840123985153,3196800.0,0,0,0
TXN0007845,2024-02-14 14:00:00,1323.97,14,0,deposit,2,14,USER01099,4900.877809611769,0.2701495632891285,,0,0,0
TXN0002117,2024-02-10 14:00:00,2813.54,14,0,send_money,5,10,USER00007,4747.0085181437735,0.5926974828981728,,0,0,1
TXN0005909,2024-06-26 10:00:00,957.1465938513903,10,0,withdraw,2,26,USER01668,2675.6074388284005,0.35773057734901026,10364400.0,0,0,0
TXN0002859,2024-04-29 10:00:00,4205.320399674438,10,0,send_money,0,29,USER00301,463.6071039371002,9.070871356287487,,0,0,0
TXN0003343,2024-02-24 10:00:00,1402.11,10,0,withdraw,5,24,USER01860,749.99239152481,1.8694989653819942,702000.0,0,0,1
TXN0006011,2024-09-08 16:00:00,1741.31,16,0,buy_goods,6,8,USER00007,4747.0085181437735,0.3668225985574818,432000.0,0,0,1
TXN0003565,2024-11-11 15:00:00,10962.71,15,0,paybill,0,11,USER00948,3071.6186849714272,3.569033504594004,1656000.0,0,0,0
TXN0008909,2024-11-17 20:00:00,3377.24,20,0,buy_goods,6,17,USER00678,2199.9160188661544,1.535167693237964,7797600.0,0,0,1
TXN0003891,2024-12-11 13:00:00,7056.63,13,0,paybill,2,11,USER00348,4935.475063941115,1.4297772572201153,2077200.0,0,0,0
TXN0002312,2024-11-24 13:00:00,11140.94,13,0,send_money,6,24,USER00452,3346.0227326283716,3.329606786995304,15184800.0,0,0,1
TXN0007342,2024-02-29 15:00:00,1440.4363898367503,15,0,buy_goods,3,29,USER00734,4000.6276546575277,0.3600526002863064,,0,0,0
TXN0003170,2024-12-31 14:00:00,1801.0190902035854,14,0,send_money,1,31,USER01650,2115.4759709833743,0.8513540758236009,2156400.0,0,0,0
TXN0007200,2024-11-10 12:00:00,1226.13,12,0,buy_goods,6,10,USER00984,1763.857363392449,0.695141242964096,2502000.0,0,0,1
TXN0003582,2024-05-16 12:00:00,8576.29,12,0,buy_goods,3,16,USER01616,2199.189496795708,3.899750345523176,3013200.0,0,0,0
TXN0002852,2024-04-29 10:00:00,4306.837427053888,10,0,send_money,0,29,USER00601,4605.870826903868,0.9350756000139512,,0,0,0
TXN0004941,2024-07-23 12:00:00,1192.45,12,0,buy_goods,1,23,USER01580,1677.039027745142,0.7110448715098212,,0,0,0
TXN0007572,2024-10-13 09:00:00,5054.32,9,0,send_money,6,13,USER00602,2463.5247895109233,2.0516619201560458,8118000.0,0,0,1
TXN0005429,2024-10-06 15:00:00,2173.8,15,0,withdraw,6,6,USER01931,353.72190147462453,6.145505808200416,2246400.0,0,0,1
TXN0001467,2024-01-08 12:00:00,5962.81,12,0,paybill,0,8,USER00502,2991.5397473522507,1.9932243939855918,,0,0,0
TXN0009047,2024-10-20 14:00:00,5144.2,14,0,buy_goods,6,20,USER00512,4350.104058345215,1.182546424408261,2498400.0,0,0,1
TXN0006025,2024-09-14 11:00:00,6689.49,11,0,withdraw,5,14,USER00243,4453.979555057423,1.5019130459196182,1368000.0,0,0,1
TXN0000504,2024-01-20 15:00:00,14691.59,15,0,withdraw,5,20,USER01586,3274.9114870706785,4.486102924614075,,0,0,1
TXN0005827,2024-03-23 08:00:00,883.26,8,0,send_money,5,23,USER01210,4721.09730597429,0.18708786173127226,2412000.0,0,0,1
TXN0000060,2024-04-08 12:00:00,2204.57,12,0,paybill,0,8,USER00019,543.4281542964118,4.056782819532611,684000.0,0,0,0
TXN0000890,2024-04-04 15:00:00,3402.88,15,0,paybill,3,4,USER00265,1676.1320393196252,2.0301980513309057,,0,0,0
TXN0006942,2024-12-17 15:00:00,139.8,15,0,buy_goods,1,17,USER01627,4210.151307734364,0.03320545742457686,9230400.0,0,0,0
TXN0000858,2024-08-17 14:00:00,1366.04,14,0,send_money,5,17,USER00542,3461.592372345554,0.3946276317550294,17722800.0,0,0,1
TXN0008306,2024-10-21 10:00:00,975.5,10,0,paybill,0,21,USER01950,2616.8221759794023,0.37278039331614043,1875600.0,0,0,0
TXN0009246,2024-01-18 13:00:00,2881.1,13,0,paybill,3,18,USER01247,604.5066892799985,4.766034935744966,702000.0,0,0,0
TXN0001986,2024-08-29 15:00:00,5152.994935372877,15,0,paybill,3,29,USER00568,389.5969721856705,13.226475828249278,16077600.0,0,0,0
TXN0009581,2024-02-17 13:00:00,12197.7,13,0,buy_goods,5,17,USER01053,2648.2640766209365,4.605922841185727,669600.0,0,0,1
TXN0002332,2024-06-01 14:00:00,7578.4,14,0,buy_goods,5,1,USER00167,223.27526340586826,33.941959733461545,1918800.0,0,0,1
TXN0007891,2024-10-03 13:00:00,1277.44,13,0,send_money,3,3,USER00696,1027.209432091775,1.2436022879956077,2498400.0,0,0,0
TXN0007029,2024-02-16 10:00:00,2179.16,10,0,deposit,4,16,USER00572,260.8568289310492,8.353854522152474,3960000.0,0,0,0
TXN0007921,2024-01-02 15:00:00,306.95,15,0,deposit,1,2,USER00580,643.9043722458273,0.47670122029054,,0,0,0
TXN0001450,2024-10-27 13:00:00,12631.741452605957,13,0,send_money,6,27,USER01626,3117.295432818109,4.052147678921328,5367600.0,0,0,1
TXN0003471,2024-12-21 16:00:00,7296.7,16,0,withdraw,5,21,USER00200,4488.825994346326,1.6255252507426639,12463200.0,0,0,1
TXN0004271,2024-11-21 19:00:00,5368.18,19,0,withdraw,3,21,USER01331,3571.087573755861,1.503233927795857,2286000.0,0,0,0
TXN0005603,2024-08-20 14:00:00,6984.76,14,0,paybill,1,20,USER01713,2856.7958639285107,2.4449629349417137,17726400.0,0,0,0
TXN0007025,2024-03-13 13:00:00,874.12,13,0,send_money,2,13,USER00398,208.81587324232865,4.186080236273958,,0,0,0
TXN0009187,2024-07-27 07:00:00,8529.832491941563,7,0,buy_goods,5,27,USER01811,2109.3363194178983,4.0438465945039495,3348000.0,0,0,1
TXN0009826,2024-09-16 03:00:00,20346.41,3,1,send_money,0,16,USER00196,2337.6672321123237,32.47428847050544,31.69723522459115,1,1,0
TXN0005094,2024-11-08 08:00:00,2999.99,8,0,buy_goods,4,8,USER01061,1173.6476368695492,2.5561249439412865,5083200.0,0,0,0
TXN0002653,2024-06-18 08:00:00,5423.43,8,0,send_money,1,18,USER00761,4296.194957454219,1.2623798625781506,2397600.0,0,0,0
TXN0001386,2024-07-28 16:00:00,2799.959920028817,16,0,send_money,6,28,USER01167,1274.9501180515867,2.196132915621665,165600.0,0,0,1
TXN0006210,2024-03-08 13:00:00,10414.9,13,0,send_money,4,8,USER00621,2489.081501864106,4.184234221418682,,0,0,0
TXN0004291,2024-08-02 08:00:00,49.78,8,0,buy_goods,4,2,USER00647,3287.7068927916243,0.015141252436202216,2757600.0,0,0,0
TXN0006607,2024-07-22 13:00:00,662.87,13,0,send_money,0,22,USER00595,528.0823989609703,1.2552397150600576,1026000.0,0,0,0
TXN0000076,2024-07-08 16:00:00,2326.24,16,0,send_money,0,8,USER01799,2218.8045045957297,1.0484204422614714,5180400.0,0,0,0
TXN0007233,2024-05-24 13:00:00,3662.44,13,0,withdraw,4,24,USER01545,1510.5201286799886,2.4246217779305783,252000.0,0,0,0
TXN0001714,2024-06-15 08:00:00,151.74,8,0,withdraw,5,15,USER01483,1700.479257697568,0.08923366710479871,79200.0,0,0,1
TXN0005877,2024-09-18 15:00:00,1163.95,15,0,withdraw,2,18,USER01581,4283.840580583139,0.27170712310717154,21859200.0,0,0,0
TXN0002534,2024-06-30 15:00:00,4897.054065075126,15,0,buy_goods,6,30,USER01845,1800.9115777177049,2.7192084973328687,12610800.0,0,0,1
TXN0007702,2024-10-23 14:00:00,318.34,14,0,send_money,2,23,USER00216,4111.172774477498,0.07743289262282557,4168800.0,0,0,0
TXN0003240,2024-09-10 12:00:00,293.74,12,0,buy_goods,1,10,USER00622,349.94286544652925,0.8393941668883175,4575600.0,0,0,0
TXN0000121,2024-10-02 17:00:00,41284.03,17,0,paybill,2,2,USER00745,1326.5946673301794,31.120304503474017,6224400.0,0,1,0
TXN0006110,2024-06-20 19:00:00,1533.56,19,0,paybill,3,20,USER01836,4585.555412836918,0.33443277028272606,2019600.0,0,0,0
TXN0003217,2024-09-23 07:00:00,624.65,7,0,paybill,0,23,USER01558,569.840059627888,1.0961847793008859,306000.0,0,0,0
TXN0001003,2024-04-25 15:00:00,9906.288546708078,15,0,paybill,3,25,USER01503,2666.011528186782,3.7157710842479292,4244400.0,0,0,0
TXN0008874,2024-03-27 18:00:00,1848.6137411700577,18,0,buy_goods,2,27,USER01439,1153.8113590849305,1.602180223495255,5457600.0,0,0,0
TXN0007265,2024-06-20 08:00:00,3732.49,8,0,withdraw,3,20,USER00159,417.11132144555324,8.94842649454964,8294400.0,0,0,0
TXN0007311,2024-09-25 13:00:00,2489.8427830995547,13,0,buy_goods,2,25,USER00989,2278.0039281921436,1.0929931912257629,8046000.0,0,0,0
TXN0005068,2024-11-03 18:00:00,219.35,18,0,buy_goods,6,3,USER00965,4380.408880548185,0.05007523406640284,2458800.0,0,0,1
TXN0002715,2024-04-22 11:00:00,4674.12,11,0,paybill,0,22,USER01609,4257.423319828819,1.0978753224351518,1368000.0,0,0,0
TXN0005436,2024-07-10 10:00:00,2036.42,10,0,buy_goods,2,10,USER01362,1930.4946601004697,1.0548695327103457,3272400.0,0,0,0
TXN0001046,2024-08-28 10:00:00,19286.809510868596,10,0,buy_goods,2,28,USER00424,2481.495499836383,7.772252463137761,871200.0,0,1,0
TXN0000826,2024-11-08 12:00:00,3588.07,12,0,deposit,4,8,USER00367,654.8592558931107,5.479146805532306,10094400.0,0,0,0
TXN0004899,2024-12-08 18:00:00,1366.91,18,0,send_money,6,8,USER01563,4027.769331575495,0.3393714702786423,7984800.0,0,0,1
TXN0005597,2024-12-08 15:00:00,3455.03,15,0,send_money,6,8,USER01823,4543.841689860063,0.760376403013813,3556800.0,0,0,1
TXN0007652,2024-02-27 08:00:00,1675.6754423156826,8,0,send_money,1,27,USER00461,248.8098772145065,6.734762546709639,,0,0,0
TXN0004532,2024-09-05 11:00:00,4226.86,11,0,buy_goods,3,5,USER01094,4862.037884599362,0.8693597418047059,7596000.0,0,0,0
TXN0003555,2024-05-01 14:00:00,1552.17,14,0,deposit,2,1,USER01345,4095.9674029644016,0.37895076969524655,5025600.0,0,0,0
TXN0005398,2024-12-10 12:00:00,3391.66,12,0,deposit,1,10,USER00785,2405.0614932994026,1.4102175804856965,2224800.0,0,0,0
TXN0003146,2024-11-05 17:00:00,838.68,17,0,withdraw,1,5,USER00230,2267.097577850505,0.3699355546906696,14691600.0,0,0,0
TXN0004447,2024-11-17 16:00:00,1220.74,16,0,send_money,6,17,USER01739,308.1596766535025,3.9613878533907307,11430000.0,0,0,1
TXN0001617,2024-10-16 15:00:00,1250.8,15,0,paybill,2,16,USER00795,3013.7884896296414,0.41502580698810365,687600.0,0,0,0
TXN0003420,2024-10-30 16:00:00,6750.081590044291,16,0,send_money,2,30,USER01519,4353.462696717465,1.5505086548999005,432000.0,0,0,0
TXN0006063,2024-07-09 14:00:00,4405.69,14,0,deposit,1,9,USER00159,417.11132144555324,10.562384125013704,1663200.0,0,0,0
TXN0006954,2024-07-10 16:00:00,857.01,16,0,paybill,2,10,USER00461,248.8098772145065,3.444437212840814,3625200.0,0,0,0
TXN0004028,2024-05-15 15:00:00,910.43,15,0,send_money,2,15,USER00799,727.4537488793774,1.2515297383544899,1296000.0,0,0,0
TXN0005839,2024-03-23 14:00:00,2401.5,14,0,send_money,5,23,USER01437,467.5765496384342,5.136057404626094,2242800.0,0,0,1
TXN0004779,2024-01-03 10:00:00,831.97,10,0,buy_goods,2,3,USER00830,2256.752651125964,0.3686580359548506,,0,0,0
TXN0007550,2024-12-14 18:00:00,4669.33,18,0,withdraw,5,14,USER01582,1297.5704244004755,3.598517592721335,1645200.0,0,0,1
TXN0007110,2024-07-28 15:00:00,10098.639682271796,15,0,send_money,6,28,USER01190,2878.3955312545395,3.508426681676488,8827200.0,0,0,1
TXN0001533,2024-11-29 11:00:00,563.2261547895334,11,0,deposit,4,29,USER00655,3395.7682253360995,0.16586118881355266,2664000.0,0,0,0
TXN0000731,2024-02-11 16:00:00,1193.82,16,0,send_money,6,11,USER00926,2691.6870665605334,0.4435210967987731,,0,0,1
TXN0003552,2024-02-14 14:00:00,3320.61,14,0,buy_goods,2,14,USER00665,4372.693860042531,0.7593968629598282,100800.0,0,0,0
TXN0006754,2024-11-11 07:00:00,223.61,7,0,deposit,0,11,USER00801,4471.000754683013,0.05001341137457572,12589200.0,0,0,0
TXN0001720,2024-02-15 09:00:00,399.06,9,0,paybill,3,15,USER01827,3190.9053670280105,0.12506168441205825,,0,0,0
TXN0008140,2024-11-26 09:00:00,7630.533807882001,9,0,buy_goods,1,26,USER00249,1746.6293822292373,4.368719480799693,8010000.0,0,0,0
TXN0009443,2024-07-14 12:00:00,386.86,12,0,send_money,6,14,USER01255,418.2017206650597,0.9250559739084347,6066000.0,0,0,1
TXN0009782,2024-09-10 23:00:00,7500.0,23,1,send_money,1,10,USER00617,1665.6301062978873,44.335312764310984,47.749957518737226,1,0,0
TXN0006157,2024-04-26 15:00:00,4330.253917209326,15,0,paybill,4,26,USER00106,3276.218672269526,1.3217231053169112,,0,0,0
TXN0006071,2024-10-21 11:00:00,374.21,11,0,buy_goods,0,21,USER01148,771.7448137935252,0.48488826009800334,784800.0,0,0,0
TXN0000423,2024-11-22 13:00:00,2397.45,13,0,withdraw,4,22,USER01626,3117.295432818109,0.7690801374679614,93600.0,0,0,0
TXN0006311,2024-11-14 13:00:00,835.66,13,0,paybill,3,14,USER01883,968.5733336764921,0.862774114199508,342000.0,0,0,0
TXN0007858,2024-08-27 09:00:00,3560.5759547191037,9,0,paybill,1,27,USER00017,2865.8637617520712,1.2424093574295778,1695600.0,0,0,0
TXN0009230,2024-02-27 13:00:00,5342.611868583169,13,0,paybill,1,27,USER01331,3571.087573755861,1.4960741673898863,3366000.0,0,0,0
TXN0008770,2024-11-04 11:00:00,917.87,11,0,buy_goods,0,4,USER00300,1561.309845708748,0.5878845909559598,5356800.0,0,0,0
TXN0006965,2024-01-08 09:00:00,7058.9,9,0,paybill,0,8,USER01757,4125.08802804642,1.711211967358425,,0,0,0
TXN0003176,2024-12-30 15:00:00,1826.9744825443493,15,0,send_money,0,30,USER00020,3815.404490747554,0.47884162399420704,2772000.0,0,0,0
TXN0002151,2024-12-13 10:00:00,6938.37,10,0,send_money,4,13,USER01550,4875.086701297786,1.4232300726370573,16408800.0,0,0,0
TXN0001756,2024-03-31 19:00:00,4018.554848918436,19,0,send_money,6,31,USER01302,2238.830542872017,1.7949347983091892,3308400.0,0,0,1
TXN0002959,2024-09-30 16:00:00,6044.383962624304,16,0,deposit,0,30,USER00006,4719.7755946450725,1.2806507092163653,16689600.0,0,0,0
TXN0003884,2024-10-17 17:00:00,2364.28,17,0,paybill,3,17,USER01570,3555.693722820248,0.6649279112051132,3387600.0,0,0,0
TXN0004085,2024-06-18 08:00:00,47.43,8,0,paybill,1,18,USER01360,4563.920102004108,0.010392381755143466,3873600.0,0,0,0
TXN0006155,2024-03-23 08:00:00,701.28,8,0,send_money,5,23,USER01074,1403.4077467588438,0.49969796847680165,1886400.0,0,0,1
TXN0009475,2024-05-24 16:00:00,1373.81,16,0,send_money,4,24,USER00218,3911.611685428662,0.3512132876373305,10800.0,0,0,0
TXN0002509,2024-03-18 17:00:00,5388.14,17,0,send_money,0,18,USER00271,2294.7753451907115,2.3480032637147796,1497600.0,0,0,0
TXN0003484,2024-10-02 14:00:00,786.41,14,0,send_money,2,2,USER00936,2148.763829096038,0.365982519507895,12963600.0,0,0,0
TXN0003423,2024-01-03 08:00:00,1737.7,8,0,paybill,2,3,USER01197,386.30002395411987,4.498317090983105,,0,0,0
TXN0007314,2024-02-27 08:00:00,1115.8865704847456,8,0,paybill,1,27,USER01205,1575.4131697946218,0.7083135979053785,374400.0,0,0,0
TXN0006264,2024-06-02 17:00:00,164.02,17,0,send_money,6,2,USER00752,3254.5440739226306,0.050397228083106066,2862000.0,0,0,1
TXN0003279,2024-07-20 16:00:00,514.23,16,0,send_money,5,20,USER01686,3124.249710092891,0.164593117617577,4741200.0,0,0,1
TXN0006878,2024-11-16 16:00:00,2674.87,16,0,send_money,5,16,USER01043,4163.700139284831,0.6424261859691566,349200.0,0,0,1
TXN0004716,2024-01-28 14:00:00,6096.939237860568,14,0,send_money,6,28,USER01374,2233.5593277743374,2.729696570870115,,0,0,1
TXN0006326,2024-01-05 19:00:00,587.33,19,0,buy_goods,4,5,USER01050,4961.365264313271,0.11838072157771184,,0,0,0
TXN0000432,2024-02-27 14:00:00,3713.1835060740536,14,0,send_money,1,27,USER00006,4719.7755946450725,0.7867288246260965,3380400.0,0,0,0
TXN0002036,2024-02-13 09:00:00,7664.03,9,0,deposit,1,13,USER01123,2647.84792250016,2.894437378700905,,0,0,0
TXN0009927,2024-04-13 00:00:00,7976.625,0,1,send_money,5,13,USER00863,1192.4800280446057,27.30564168632167,16.926428386895743,1,0,1
TXN0004027,2024-08-25 10:00:00,16948.422008132187,10,0,withdraw,6,25,USER00005,1474.3120719581582,11.49581715465543,2908800.0,0,1,1
TXN0000737,2024-04-24 16:00:00,1728.1,16,0,buy_goods,2,24,USER00825,3999.342848343005,0.4320959881486482,3196800.0,0,0,0
TXN0000501,2024-04-01 13:00:00,1760.87,13,0,paybill,0,1,USER01496,2594.1485954962163,0.6787853259667168,1810800.0,0,0,0
TXN0003662,2024-11-28 08:00:00,6129.886376219386,8,0,buy_goods,3,28,USER00151,836.5665763276555,7.32743400187974,2563200.0,0,0,0
TXN0003711,2024-06-09 15:00:00,1332.04,15,0,buy_goods,6,9,USER00407,2992.0757177241258,0.4451892684765327,1630800.0,0,0,1
TXN0003267,2024-03-31 14:00:00,2748.1077253977196,14,0,send_money,6,31,USER00019,543.4281542964118,5.056984448948461,4838400.0,0,0,1
TXN0000141,2024-02-02 11:00:00,2276.21,11,0,paybill,4,2,USER01929,4661.213056558702,0.48832996311919047,,0,0,0
TXN0008872,2024-10-29 15:00:00,861.2542113132785,15,0,send_money,1,29,USER01775,4979.436391114003,0.17296218761830556,5173200.0,0,0,0
TXN0000337,2024-07-25 15:00:00,42731.891610915845,15,0,paybill,3,25,USER01595,600.2666510767313,71.18818200922091,7002000.0,0,1,0
TXN0008143,2024-04-17 12:00:00,6127.91,12,0,buy_goods,2,17,USER00438,1291.2789095829578,4.745613015532888,5695200.0,0,0,0
TXN0007398,2024-08-15 15:00:00,12128.79,15,0,withdraw,3,15,USER00205,2600.7684899990295,4.663540813663321,7358400.0,0,0,0
TXN0001952,2024-03-04 14:00:00,1053.17,14,0,buy_goods,0,4,USER01883,968.5733336764921,1.0873415191004667,3798000.0,0,0,0
TXN0009671,2024-10-18 15:00:00,2422.59,15,0,send_money,4,18,USER01407,3622.078054569403,0.6688398106009343,2617200.0,0,0,0
TXN0008671,2024-02-18 09:00:00,2732.03,9,0,send_money,6,18,USER01353,4903.44349758447,0.5571655921692277,2419200.0,0,0,1
TXN0000863,2024-07-26 12:00:00,995.2301266312923,12,0,send_money,4,26,USER00077,668.8595442789886,1.4879508487901176,17348400.0,0,0,0
TXN0000065,2024-04-26 13:00:00,507.93667719984,13,0,buy_goods,4,26,USER00066,1869.5153242651393,0.27169431060935406,,0,0,0
TXN0009498,2024-05-13 19:00:00,8154.06,19,0,deposit,0,13,USER00518,265.84724815371317,30.671974438815006,5007600.0,0,0,0
TXN0008144,2024-08-10 19:00:00,550.58,19,0,send_money,5,10,USER01790,2410.2137450829346,0.22843617132432162,1065600.0,0,0,1
TXN0006341,2024-06-18 14:00:00,4775.11,14,0,paybill,1,18,USER00887,4300.283054068339,1.1104176027395323,13230000.0,0,0,0
TXN0009414,2024-06-14 13:00:00,4353.86,13,0,paybill,4,14,USER01177,3983.0035456694063,1.0931097474753226,1040400.0,0,0,0
TXN0000843,2024-10-11 19:00:00,1252.93,19,0,buy_goods,4,11,USER01656,598.8651352672681,2.0921738906053173,3232800.0,0,0,0
TXN0008300,2024-05-31 16:00:00,534.5170300785305,16,0,send_money,4,31,USER00613,1260.5656238602612,0.4240295149741319,878400.0,0,0,0
TXN0005578,2024-03-12 18:00:00,226.72,18,0,paybill,1,12,USER01128,4709.185214213516,0.048144209600357514,2793600.0,0,0,0
TXN0006723,2024-07-21 12:00:00,2456.26,12,0,send_money,6,21,USER00768,4068.9199924429854,0.6036638726153124,3538800.0,0,0,1
TXN0001864,2024-10-31 20:00:00,847.7980297310465,20,0,deposit,3,31,USER01077,4251.308936395686,0.19942047082793765,4690800.0,0,0,0
TXN0004184,2024-04-06 09:00:00,6245.2,9,0,buy_goods,5,6,USER01579,817.1421448487006,7.642733934811722,7862400.0,0,0,1
TXN0005899,2024-09-22 13:00:00,2218.27,13,0,buy_goods,6,22,USER00129,384.95526897084903,5.762409762387172,14677200.0,0,0,1
TXN0007736,2024-09-05 18:00:00,597.99,18,0,send_money,3,5,USER01439,1153.8113590849305,0.5182736287795402,1072800.0,0,0,0
TXN0001100,2024-05-27 08:00:00,849.2041909413813,8,0,paybill,0,27,USER00490,2586.7053150382226,0.32829568409064525,9748800.0,0,0,0
TXN0003163,2024-10-26 13:00:00,2528.5317464005725,13,0,buy_goods,5,26,USER00148,2168.935356122844,1.1657939639660526,784800.0,0,0,1
TXN0000245,2024-04-19 18:00:00,1294.59,18,0,send_money,4,19,USER01675,3362.3330961808806,0.38502728997030816,802800.0,0,0,0
TXN0006187,2024-02-18 11:00:00,7076.05,11,0,buy_goods,6,18,USER00565,2348.035961959112,3.0136037584773674,,0,0,1
TXN0008597,2024-01-22 12:00:00,1799.93,12,0,withdraw,0,22,USER00841,3532.091254866871,0.5095932891087893,,0,0,0
TXN0008726,2024-11-01 12:00:00,3365.42,12,0,buy_goods,4,1,USER00574,1012.9032765898811,3.3225482410623495,1638000.0,0,0,0
